real12,pred12,real3,pred3
86.68,88.1073,87.99,89.79558
85.54059,87.792496,90.38636,89.53786
85.8525,87.43981,90.2184,89.244095
80.32923,86.9467,86.5124,88.876076
83.77333,86.8131,90.5625,88.70602
85.6575,86.74121,92.91428,88.60155
83.59524,86.50665,79.53846,88.378815
86.562775,86.39867,84.22357,88.271965
81.07692,86.43198,85.42286,88.33324
87.6,86.0604,86.68,87.83868
89.424286,86.039474,85.54059,87.74392
89.91,85.894325,85.8525,87.3725
88.13684,85.64423,80.32923,86.811035
79.260956,85.39259,83.77333,86.54269
85.38,84.93243,85.6575,86.06572
88.31964,84.256134,83.59524,85.29528
85.10267,83.89613,86.562775,84.84715
88.28105,83.71891,81.07692,84.73425
79.61952,83.614944,87.6,84.551476
83.753334,83.61231,89.424286,84.57479
84.03764,83.32286,89.91,84.117714
87.215,83.52831,88.13684,84.43866
85.17421,84.1386,79.260956,85.131294
76.21333,83.92376,85.38,85.00297
80.79191,84.16666,88.31964,85.15407
79.35429,84.129555,85.10267,84.869225
83.9,84.19223,88.28105,84.798325
82.174736,84.31687,79.61952,84.97516
84.99913,84.42992,83.753334,85.02293
86.41136,84.47012,84.03764,85.17558
83.325,84.189964,87.215,84.668205
80.14867,84.24512,85.17421,84.618614
81.24654,84.061775,76.21333,84.43513
86.516075,83.82671,80.79191,84.32167
83.06,83.81712,79.35429,84.17606
80.82143,83.44393,83.9,83.42975
86.81483,83.27445,82.174736,83.251724
85.89632,83.278145,84.99913,83.09378
81.55458,83.02792,86.41136,82.85773
85.390305,83.37628,83.325,82.95689
82.066666,83.76081,80.14867,82.99577
82.31,83.955025,81.24654,83.34341
86.455,84.16996,86.516075,83.36775
83.80595,84.21009,83.06,83.21471
83.28065,84.398605,80.82143,83.323166
79.58741,84.38597,86.81483,83.36999
85.01125,84.69418,85.89632,83.54372
83.45,84.883575,81.55458,83.40653
82.35571,85.322716,85.390305,83.786606
84.41194,86.0658,82.066666,84.75748
84.266754,86.200195,82.31,84.24128
85.948,86.55003,86.455,84.58096
84.53,87.137695,83.80595,84.707115
89.74073,87.41622,83.28065,84.78581
86.70333,88.104095,79.58741,85.37731
85.204,88.65853,85.01125,85.57121
89.79911,88.676926,83.45,85.56653
88.7422,88.68751,82.35571,85.541336
91.70627,88.919914,84.41194,85.48541
93.39465,89.32453,84.266754,85.71405
89.428635,89.96081,85.948,85.713066
90.644066,90.55193,84.53,85.78197
94.52689,91.43641,89.74073,86.052185
93.74676,92.25263,86.70333,86.42408
98.59,93.315056,85.204,86.635544
94.42348,94.474075,89.79911,87.58118
98.56532,95.701385,88.7422,87.907555
99.8,96.36039,91.70627,88.36311
99.42847,96.584564,93.39465,89.69743
98.38046,96.42256,89.428635,91.16251
94.94693,96.966095,90.644066,92.40726
97.51667,97.25954,94.52689,93.45831
98.29308,97.61742,93.74676,93.660194
95.35333,97.8476,98.59,94.04952
96.59948,98.1784,94.42348,94.90333
96.96047,98.30578,98.56532,95.12923
98.1825,99.01393,99.8,96.34977
98.11,99.469315,99.42847,96.56606
96.86612,99.947914,98.38046,97.563545
98.80903,100.47368,94.94693,98.51663
97.63647,100.748795,97.51667,99.210655
101.95526,100.82266,98.29308,99.42033
100.012,100.757095,95.35333,98.98746
98.084915,100.660385,96.59948,99.17407
100.05101,100.949326,96.96047,99.60859
97.53614,100.75551,98.1825,99.482574
101.63739,100.42551,98.11,99.49138
98.935234,100.22549,96.86612,99.48253
99.55076,100.12222,98.80903,99.56399
98.569916,100.05614,97.63647,99.61253
100.35561,99.57028,101.95526,99.13551
95.91692,99.22783,100.012,99.13906
95.382,98.79156,98.084915,98.90773
94.83692,98.93822,100.05101,99.63707
94.40429,98.408226,97.53614,99.56093
94.87348,97.92654,101.63739,99.12094
98.43757,97.74129,98.935234,99.26947
99.23023,97.34068,99.55076,98.879654
95.387566,97.32391,98.569916,99.22246
99.665215,97.00812,100.35561,98.98603
96.99093,96.8363,95.91692,98.64927
97.68781,96.94369,95.382,98.49168
95.25277,96.769646,94.83692,98.4255
99.59375,96.45114,94.40429,97.6726
99.90596,96.095985,94.87348,97.05935
95.1193,95.963165,98.43757,96.62304
97.54527,95.37777,99.23023,95.8406
97.27683,95.2585,95.387566,95.72812
93.34054,95.85627,99.665215,96.55666
94.64832,95.7082,96.99093,96.9411
