from,to,cost,CONZONE_ID,ST_ND_NM,END_ND_NM,,,,
176,539,17560,0120CZE120,순창IC,남원JC,,,,
539,177,9040,0120CZE125,남원JC,남원IC,,,,
177,173,9500,0120CZE130,남원IC,동남원IC,,,,
173,179,11500,0120CZE140,동남원IC,지리산IC,,,,
179,1013,14080,0120CZE150,지리산IC,서함양IC,,,,
1013,161,3730,0120CZE155,서함양IC,함양IC,,,,
161,162,1880,0120CZE160,함양IC,함양JC,,,,
162,165,24170,0120CZE170,함양JC,거창IC,,,,
165,166,10600,0120CZE180,거창IC,가조IC,,,,
166,167,14800,0120CZE190,가조IC,해인사IC,,,,
167,113,6400,0120CZE200,해인사IC,고령IC,,,,
113,114,12620,0120CZE210,고령IC,동고령IC,,,,
114,357,1980,0120CZE220,동고령IC,고령JC,,,,
348,197,3000,0120CZS090,담양JC,고서JC,,,,
200,348,3740,0120CZS100,담양IC,담양JC,,,,
176,200,18200,0120CZS110,순창IC,담양IC,,,,
539,176,17560,0120CZS120,남원JC,순창IC,,,,
177,539,9040,0120CZS125,남원IC,남원JC,,,,
173,177,9500,0120CZS130,동남원IC,남원IC,,,,
179,173,11500,0120CZS140,지리산IC,동남원IC,,,,
1013,179,14080,0120CZS150,서함양IC,지리산IC,,,,
161,1013,3730,0120CZS155,함양IC,서함양IC,,,,
162,161,1880,0120CZS160,함양JC,함양IC,,,,
165,162,24170,0120CZS170,거창IC,함양JC,,,,
166,165,10600,0120CZS180,가조IC,거창IC,,,,
167,166,14800,0120CZS190,해인사IC,가조IC,,,,
113,167,6400,0120CZS200,고령IC,해인사IC,,,,
114,113,12620,0120CZS210,동고령IC,고령IC,,,,
357,114,1980,0120CZS220,고령JC,동고령IC,,,,
348,347,6060,0140CZE060,담양JC,대덕JC,,,,
347,348,6060,0140CZS060,대덕JC,담양JC,,,,
1025,1026,20540,0141CZE200,밀양JC,배내골IC,,,,
1026,1027,9080,0141CZE210,배내골IC,서울주JC,,,,
1027,1028,14630,0141CZE220,서울주JC,울주JC,,,,
1026,1025,20540,0141CZS200,배내골IC,밀양JC,,,,
1027,1026,9080,0141CZS210,서울주JC,배내골IC,,,,
1028,1027,14630,0141CZS220,울주JC,서울주JC,,,,
303,566,10700,0153CZE010,서평택JC,조암IC,,,,
566,1044,8500,0153CZE020,조암IC,마도JC,,,,
1044,567,3100,0153CZE025,마도JC,송산마도IC,,,,
567,1076,10600,0153CZE030,송산마도IC,남안산JC,,,,
1076,568,3300,0153CZE035,남안산JC,남안산IC,,,,
568,569,3800,0153CZE040,남안산IC,군자JC,,,,
566,303,10700,0153CZS010,조암IC,서평택JC,,,,
1044,566,8500,0153CZS020,마도JC,조암IC,,,,
567,1044,3100,0153CZS025,송산마도IC,마도JC,,,,
1076,567,10600,0153CZS030,남안산JC,송산마도IC,,,,
568,1076,3300,0153CZS035,남안산IC,남안산JC,,,,
569,568,3800,0153CZS040,군자JC,남안산IC,,,,
204,405,12000,0160CZE010,언양JC,울산JCT,,,,
405,204,12000,0160CZS010,울산JCT,언양JC,,,,
222,224,10010,0251CZE010,서순천IC,승주IC,,,,
224,223,11810,0251CZE020,승주IC,주암IC,,,,
223,226,7420,0251CZE030,주암IC,석곡IC,,,,
226,196,12070,0251CZE040,석곡IC,곡성IC,,,,
196,199,11430,0251CZE050,곡성IC,옥과IC,,,,
199,347,7660,0251CZE060,옥과IC,대덕JC,,,,
347,198,3800,0251CZE070,대덕JC,창평IC,,,,
198,197,4120,0251CZE080,창평IC,고서JC,,,,
197,228,2980,0251CZE090,고서JC,동광주TG,,,,
228,451,1700,0251CZE100,동광주TG,문흥JC,,,,
451,218,1210,0251CZE110,문흥JC,동광주IC,,,,
218,217,2820,0251CZE120,동광주IC,용봉IC,,,,
217,216,1330,0251CZE130,용봉IC,서광주IC,,,,
216,219,2250,0251CZE140,서광주IC,동림IC,,,,
219,452,2390,0251CZE150,동림IC,산월IC,,,,
452,220,1960,0251CZE160,산월IC,광산IC,,,,
220,608,2000,0251CZE170,광산IC,북광산IC,,,,
608,1066,3550,0251CZE175,북광산IC,남장성JC,,,,
1066,191,3150,0251CZE180,남장성JC,장성IC,,,,
191,375,5340,0251CZE190,장성IC,장성JC,,,,
375,202,12060,0251CZE200,장성JC,백양사IC,,,,
202,175,9190,0251CZE210,백양사IC,내장산IC,,,,
175,181,8460,0251CZE220,내장산IC,정읍IC,,,,
181,182,12840,0251CZE230,정읍IC,태인IC,,,,
182,185,10550,0251CZE240,태인IC,금산사IC,,,,
185,186,4700,0251CZE250,금산사IC,김제IC,,,,
186,190,6600,0251CZE260,김제IC,서전주IC,,,,
190,207,6040,0251CZE270,서전주IC,전주IC,,,,
207,382,6030,0251CZE280,전주IC,삼례IC,,,,
382,370,2330,0251CZE290,삼례IC,익산JC,,,,
370,189,6000,0251CZE300,익산JC,익산IC,,,,
189,170,10420,0251CZE310,익산IC,논산JC,,,,
224,222,10010,0251CZS010,승주IC,서순천IC,,,,
223,224,11810,0251CZS020,주암IC,승주IC,,,,
226,223,7420,0251CZS030,석곡IC,주암IC,,,,
196,226,12070,0251CZS040,곡성IC,석곡IC,,,,
199,196,11430,0251CZS050,옥과IC,곡성IC,,,,
347,199,7660,0251CZS060,대덕JC,옥과IC,,,,
198,347,3800,0251CZS070,창평IC,대덕JC,,,,
197,198,4120,0251CZS080,고서JC,창평IC,,,,
228,197,2980,0251CZS090,동광주TG,고서JC,,,,
451,228,1700,0251CZS100,문흥JC,동광주TG,,,,
218,451,1210,0251CZS110,동광주IC,문흥JC,,,,
217,218,2820,0251CZS120,용봉IC,동광주IC,,,,
216,217,1330,0251CZS130,서광주IC,용봉IC,,,,
219,216,2250,0251CZS140,동림IC,서광주IC,,,,
452,219,2390,0251CZS150,산월IC,동림IC,,,,
220,452,1960,0251CZS160,광산IC,산월IC,,,,
608,220,2000,0251CZS170,북광산IC,광산IC,,,,
1066,608,3550,0251CZS175,남장성JC,북광산IC,,,,
191,1066,3150,0251CZS180,장성IC,남장성JC,,,,
375,191,5340,0251CZS190,장성JC,장성IC,,,,
202,375,12060,0251CZS200,백양사IC,장성JC,,,,
175,202,9190,0251CZS210,내장산IC,백양사IC,,,,
181,175,8460,0251CZS220,정읍IC,내장산IC,,,,
182,181,12840,0251CZS230,태인IC,정읍IC,,,,
185,182,10550,0251CZS240,금산사IC,태인IC,,,,
186,185,4700,0251CZS250,김제IC,금산사IC,,,,
190,186,6600,0251CZS260,서전주IC,김제IC,,,,
207,190,6040,0251CZS270,전주IC,서전주IC,,,,
382,207,6030,0251CZS280,삼례IC,전주IC,,,,
370,382,2330,0251CZS290,익산JC,삼례IC,,,,
189,370,6000,0251CZS300,익산IC,익산JC,,,,
170,189,10420,0251CZS310,논산JC,익산IC,,,,
170,87,8400,0252CZE010,논산JC,연무IC,,,,
87,90,8700,0252CZE020,연무IC,서논산IC,,,,
90,91,8500,0252CZE030,서논산IC,탄천IC,,,,
91,93,14500,0252CZE040,탄천IC,남공주IC,,,,
93,422,7000,0252CZE050,남공주IC,공주JC,,,,
422,423,2100,0252CZE060,공주JC,북공주JC,,,,
423,46,14000,0252CZE070,북공주JC,정안IC,,,,
46,591,12300,0252CZE080,정안IC,남풍세IC,,,,
591,48,4100,0252CZE085,남풍세IC,남천안IC,,,,
48,50,2500,0252CZE090,남천안IC,천안JC,,,,
87,170,8400,0252CZS010,연무IC,논산JC,,,,
90,87,8700,0252CZS020,서논산IC,연무IC,,,,
91,90,8500,0252CZS030,탄천IC,서논산IC,,,,
93,91,14500,0252CZS040,남공주IC,탄천IC,,,,
422,93,7000,0252CZS050,공주JC,남공주IC,,,,
423,422,2100,0252CZS060,북공주JC,공주JC,,,,
46,423,14000,0252CZS070,정안IC,북공주JC,,,,
48,591,12300,0252CZS080,남천안IC,남풍세IC,,,,
591,46,4100,0252CZS085,남풍세IC,정안IC,,,,
50,48,2500,0252CZS090,천안JC,남천안IC,,,,
369,610,3350,0300CZE200,낙동JC,상주JC,,,,
610,369,3350,0300CZS200,상주JC,낙동JC,,,,
303,302,2800,0400CZE010,서평택JC,청북IC,,,,
302,433,5200,0400CZE020,청북IC,평택JC,,,,
433,679,5700,0400CZE030,평택JC,평택고덕IC,,,,
679,301,7170,0400CZE035,평택고덕IC,송탄IC,,,,
301,300,2830,0400CZE040,송탄IC,안성JC,,,,
302,303,2800,0400CZS010,청북IC,서평택JC,,,,
433,302,5200,0400CZS020,평택JC,청북IC,,,,
679,433,5700,0400CZS030,평택고덕IC,평택JC,,,,
301,679,7170,0400CZS035,송탄IC,평택고덕IC,,,,
300,301,2830,0400CZS040,안성JC,송탄IC,,,,
357,356,10620,0450CZE080,고령JC,남성주IC,,,,
356,378,11910,0450CZE090,남성주IC,성주IC,,,,
378,355,16710,0450CZE100,성주IC,남김천IC,,,,
355,80,12150,0450CZE110,남김천IC,김천JC,,,,
80,83,8920,0450CZE120,김천JC,선산IC,,,,
83,369,15810,0450CZE130,선산IC,낙동JC,,,,
369,79,7200,0450CZE140,낙동JC,상주IC,,,,
79,40,13040,0450CZE150,상주IC,북상주IC,,,,
40,39,7460,0450CZE160,북상주IC,점촌함창IC,,,,
39,38,13980,0450CZE170,점촌함창IC,문경새재IC,,,,
38,69,14630,0450CZE180,문경새재IC,연풍IC,,,,
69,70,14190,0450CZE190,연풍IC,괴산IC,,,,
70,72,14910,0450CZE200,괴산IC,충주IC,,,,
72,683,5010,0450CZE210,충주IC,중앙탑Hi,,,,
683,71,4160,0450CZE215,중앙탑Hi,북충주IC,,,,
71,573,5220,0450CZE220,북충주IC,충주JC,,,,
573,57,12090,0450CZE225,충주JC,감곡IC,,,,
57,262,14530,0450CZE230,감곡IC,여주JC,,,,
356,357,10620,0450CZS080,남성주IC,고령JC,,,,
378,356,11910,0450CZS090,성주IC,남성주IC,,,,
355,378,16710,0450CZS100,남김천IC,성주IC,,,,
80,355,12150,0450CZS110,김천JC,남김천IC,,,,
83,80,8920,0450CZS120,선산IC,김천JC,,,,
369,83,15810,0450CZS130,낙동JC,선산IC,,,,
79,369,7200,0450CZS140,상주IC,낙동JC,,,,
40,79,13040,0450CZS150,북상주IC,상주IC,,,,
39,40,7460,0450CZS160,점촌함창IC,북상주IC,,,,
38,39,13980,0450CZS170,문경새재IC,점촌함창IC,,,,
69,38,14630,0450CZS180,연풍IC,문경새재IC,,,,
70,69,14190,0450CZS190,괴산IC,연풍IC,,,,
72,70,14910,0450CZS200,충주IC,괴산IC,,,,
683,72,5010,0450CZS210,중앙탑Hi,충주IC,,,,
71,683,4160,0450CZS215,북충주IC,중앙탑Hi,,,,
573,71,5220,0450CZS220,충주JC,북충주IC,,,,
57,573,12090,0450CZS225,감곡IC,충주JC,,,,
262,57,14530,0450CZS230,여주JC,감곡IC,,,,
287,313,4440,0500CZE010,서창JC,월곶JC,,,,
313,569,2960,0500CZE020,월곶JC,군자JC,,,,
569,314,2080,0500CZE025,군자JC,군자TG,,,,
314,317,2500,0500CZE030,군자TG,서안산IC,,,,
317,318,3330,0500CZE040,서안산IC,안산IC,,,,
318,319,1230,0500CZE050,안산IC,안산JC,,,,
319,503,5600,0500CZE060,안산JC,둔대JC,,,,
503,322,1720,0500CZE065,둔대JC,군포IC,,,,
322,321,1390,0500CZE070,군포IC,동군포IC,,,,
321,258,2150,0500CZE080,동군포IC,부곡IC,,,,
258,269,2840,0500CZE090,부곡IC,북수원IC,,,,
269,268,6090,0500CZE100,북수원IC,동수원IC,,,,
268,309,4900,0500CZE110,동수원IC,신갈JC,,,,
309,304,6620,0500CZE120,신갈JC,마성IC,,,,
304,688,1590,0500CZE130,마성IC,서용인JC,,,,
688,306,2510,0500CZE135,서용인JC,용인IC,,,,
306,307,7960,0500CZE140,용인IC,양지IC,,,,
307,242,7100,0500CZE150,양지IC,덕평IC,,,,
242,243,5720,0500CZE160,덕평IC,호법JC,,,,
243,241,6340,0500CZE170,호법JC,이천IC,,,,
241,262,8660,0500CZE180,이천IC,여주JC,,,,
313,287,4440,0500CZS010,월곶JC,서창JC,,,,
569,313,2960,0500CZS020,군자JC,월곶JC,,,,
314,569,2080,0500CZS025,군자TG,군자JC,,,,
317,314,2500,0500CZS030,서안산IC,군자TG,,,,
318,317,3330,0500CZS040,안산IC,서안산IC,,,,
319,318,1230,0500CZS050,안산JC,안산IC,,,,
503,319,5600,0500CZS060,둔대JC,안산JC,,,,
322,503,1720,0500CZS065,군포IC,둔대JC,,,,
321,322,1390,0500CZS070,동군포IC,군포IC,,,,
258,321,2150,0500CZS080,부곡IC,동군포IC,,,,
269,258,2840,0500CZS090,북수원IC,부곡IC,,,,
268,269,6090,0500CZS100,동수원IC,북수원IC,,,,
309,268,4900,0500CZS110,신갈JC,동수원IC,,,,
304,309,6620,0500CZS120,마성IC,신갈JC,,,,
688,304,1590,0500CZS130,서용인JC,마성IC,,,,
306,688,2510,0500CZS135,용인IC,서용인JC,,,,
307,306,7960,0500CZS140,양지IC,용인IC,,,,
242,307,7100,0500CZS150,덕평IC,양지IC,,,,
243,242,5720,0500CZS160,호법JC,덕평IC,,,,
241,243,6340,0500CZS170,이천IC,호법JC,,,,
262,241,8660,0500CZS180,여주JC,이천IC,,,,
3,448,1360,0550CZE020,대저JC,초정IC,,,,
448,209,2350,0550CZE030,초정IC,대동IC,,,,
209,667,3270,0550CZE040,대동IC,대감JC,,,,
667,147,1230,0550CZE050,대감JC,대동JC,,,,
448,3,1360,0550CZS020,초정IC,대저JC,,,,
